Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA20,MA100,Month
2002-12-27,41.37883824677445,41.54613699270707,39.99396474453436,40.1612663269043,956984,0.0,0.0,-2.2619306565185737,38.11276969909668,30.84517023086548,12
2002-12-30,40.15197166110538,42.921713016115945,39.23182287782585,42.494171142578125,4253744,0.0,0.0,5.808842770754463,38.47571773529053,30.97492053985596,12
2002-12-31,42.77301311169352,45.42192845577843,41.639090321053935,44.69696044921875,9998480,0.0,0.0,5.183744611113217,38.84795989990234,31.13069538116455,12
2003-01-01,44.60399352602842,46.081808141245226,44.60399352602842,45.421905517578125,6027072,0.0,0.0,1.6219113359688064,39.31872291564942,31.31379566192627,1
2003-01-02,45.7472170860293,46.78819226075451,43.06112269782852,43.34925079345703,5325328,0.0,0.0,-4.563117069844158,39.64030990600586,31.476169395446775,1
2003-01-03,44.61331526971986,45.39404771965232,43.49798238797687,43.87905502319336,4198040,0.0,0.0,1.222176208443937,39.94005603790284,31.64449182510376,1
2003-01-06,44.557537918935374,44.75272169611248,42.289695476077206,42.577823638916016,4121520,0.0,0.0,-2.96549545925624,40.26582660675049,31.806493968963625,1
2003-01-07,43.126206499139,43.49798414137295,41.68556813548241,42.085227966308594,2650800,0.0,0.0,-1.1569301352387318,40.52560615539551,31.95622747421265,1
2003-01-08,42.642874374138266,43.981275525862976,42.32686409415098,43.59090805053711,2648456,0.0,0.0,3.577692594261084,40.77376766204834,32.107726917266845,1
2003-01-09,43.86974774348094,44.72483718153053,43.4607930351936,44.01845932006836,2630400,0.0,0.0,0.980826710550664,41.02750644683838,32.25123302459717,1
2003-01-10,44.61330090022736,44.61330090022736,41.09070958393436,41.32307052612305,1702816,0.0,0.0,-6.1233147083738615,41.13857517242432,32.349940090179444,1
2003-01-13,41.806388569048266,42.196756170398025,40.337868233376085,41.741329193115234,2421496,0.0,0.0,1.0121674446427642,41.35467128753662,32.45394496917724,1
2003-01-14,42.178147533773306,43.59090287671925,42.01084882788294,42.29897689819336,2239360,0.0,0.0,1.335960583569773,41.63303909301758,32.57133367538452,1
2003-01-15,42.64285469860227,43.59088793757584,42.40120172545294,43.14475631713867,2759760,0.0,0.0,1.999526893950554,41.97089138031006,32.69690118789673,1
